Time;WindOnshore;WindOffshore;Solar;Biomass;Hydro;Waste
00:00 - 01:00;155;0;0;0;0;0
01:00 - 02:00;144;0;0;0;0;0
02:00 - 03:00;136;0;0;0;0;0
03:00 - 04:00;132;6;0;0;0;0
04:00 - 05:00;128;33;0;0;0;0
05:00 - 06:00;119;85;4;0;0;0
06:00 - 07:00;103;97;107;0;0;0
07:00 - 08:00;85;120;409;0;0;0
08:00 - 09:00;76;128;893;0;0;0
09:00 - 10:00;83;102;1408;0;0;0
10:00 - 11:00;107;77;1807;0;0;0
11:00 - 12:00;133;24;2010;0;0;0
12:00 - 13:00;152;6;2213;0;0;0
13:00 - 14:00;164;0;2370;0;0;0
14:00 - 15:00;174;0;2387;0;0;0
15:00 - 16:00;187;0;2254;0;0;0
16:00 - 17:00;202;0;1996;0;0;0
17:00 - 18:00;218;0;1616;0;0;0
18:00 - 19:00;233;0;1113;0;0;0
19:00 - 20:00;242;0;562;0;0;0
20:00 - 21:00;247;0;176;0;0;0
21:00 - 22:00;250;1;22;0;0;0
22:00 - 23:00;244;0;0;0;0;0
23:00 - 00:00;227;0;0;0;0;0
