Time;WindOnshore;WindOffshore;Solar;Biomass;Hydro;Waste
00:00 - 01:00;17111;4976;0;0;0;0
01:00 - 02:00;17640;5070;0;0;0;0
02:00 - 03:00;17959;5320;0;0;0;0
03:00 - 04:00;18076;5445;0;0;0;0
04:00 - 05:00;17895;5509;0;0;0;0
05:00 - 06:00;17636;5436;11;0;0;0
06:00 - 07:00;17377;5258;729;0;0;0
07:00 - 08:00;16939;5055;2775;0;0;0
08:00 - 09:00;16703;4812;5889;0;0;0
09:00 - 10:00;16523;4475;9517;0;0;0
10:00 - 11:00;16147;3997;13102;0;0;0
11:00 - 12:00;15756;3439;16109;0;0;0
12:00 - 13:00;15260;2879;18208;0;0;0
13:00 - 14:00;15013;2344;19284;0;0;0
14:00 - 15:00;15084;1967;19560;0;0;0
15:00 - 16:00;14889;1738;18893;0;0;0
16:00 - 17:00;14267;1615;16470;0;0;0
17:00 - 18:00;13473;1532;12928;0;0;0
18:00 - 19:00;12511;1423;9420;0;0;0
19:00 - 20:00;10353;1239;4629;0;0;0
20:00 - 21:00;8035;1016;1640;0;0;0
21:00 - 22:00;6574;764;177;0;0;0
22:00 - 23:00;5862;519;0;0;0;0
23:00 - 00:00;5255;358;0;0;0;0
